NAME,PER,RA,DEC,STAR,MSTAR,TEFF,DIST
Kepler-990 c,0.53835431,19.8625472217136,46.88138888888889,Kepler-990,1.05,5948,933
Kepler-221 e,18.369917,19.77698055585225,46.83526944438616,Kepler-221,,5243,
Kepler-1028 b,2.51462432,19.30620555559794,49.78116666687859,Kepler-1028,0.9,5522,633
Kepler-256 c,3.38802,19.50536111089918,46.09738888846503,Kepler-256,,5551,
GJ 649 b,598.3,16.96914444446563,25.74539444393582,GJ 649,0.54,3700,10.3445
Kepler-1333 b,109.6471842,19.56850277781486,41.11144444465637,Kepler-1333,0.94,5628,958
Kepler-276 b,14.12841,19.57121111128065,39.03631944444444,Kepler-276,,6105,
Kepler-1042 b,10.13202575,19.24459444469876,39.82399999989404,Kepler-1042,0.75,4815,659
Kepler-264 c,140.101261,19.46963888883591,37.37623888863457,Kepler-264,,6158,
HD 132406 b,974,14.94851944393582,53.38284999953376,HD 132406,1.09,5885,67.8887
Kepler-143 b,16.007583,19.87118055555555,49.41260000016954,Kepler-143,,5848,
Kepler-1225 b,7.01075434,19.3755527777142,40.13699999994702,Kepler-1225,1.13,6140,1241
Kepler-189 c,20.134866,19.17098055548138,44.305,Kepler-189,,5235,
HD 38529 c,2146.0503,5.776377777523464,1.168538888825311,HD 38529,1.34,5674,39.2773
Kepler-62 b,5.714932,18.88084972169664,45.34986111111111,Kepler-62,0.69,4925,368
Kepler-281 b,14.646008,19.6072111108568,44.77070000012716,Kepler-281,,5723,
Kepler-1006 b,19.76172042,19.71694166666931,42.53747222211626,Kepler-1006,0.78,5328,496
Kepler-196 c,47.427737,18.99789999961853,42.07919999970331,Kepler-196,,5128,
Kepler-238 c,6.155557,19.19313888867696,40.63781944433848,Kepler-238,,5751,
Kepler-49 c,10.9129343,19.48630583339267,40.59177777767182,Kepler-49,0.55,3974,
Kepler-55 c,42.1516418,19.01122250027127,44.02644444465637,Kepler-55,0.62,4362,
Kepler-791 b,14.5539759,19.57305555555556,39.02947222179836,Kepler-791,1.3,6383,1447
WASP-19 b,0.78884,9.894465833240085,-45.65916666666666,WASP-19,0.93,5500,
Kepler-310 d,92.876125,19.2559611108568,46.98673888895247,Kepler-310,,5797,
Kepler-619 c,1.20846503,19.38993611123827,48.4160277779897,Kepler-619,1.09,5980,1111
Kepler-204 c,25.660593,19.02315000004238,41.76191944440206,Kepler-204,,5812,
Kepler-26 b,12.282356,18.99606638908386,46.56652777777777,Kepler-26,0.65,3933,
Kepler-374 c,3.282807,19.60918888939752,42.37050000005299,Kepler-374,,5977,
Kepler-395 b,7.054346,19.56741111112965,45.13658888896306,Kepler-395,,4262,
HD 126614 A b,1244,14.44676944414775,-5.177419444190131,HD 126614 A,1.145,5585,72.6216
Kepler-875 b,27.5073799,19.82008611122767,43.14188888867696,Kepler-875,1.06,5958,1244
Kepler-1508 b,20.7056504,19.8745916668574,40.37505555576748,Kepler-1508,1.14,6158,892
Kepler-1568 b,20.925392,19.27884444448683,47.87338888910082,Kepler-1568,1.09,5956,883
Kepler-80 e,4.645387,19.74083888901605,39.9787805557251,Kepler-80,,4613,
Kepler-83 d,5.169796,18.81549999978807,43.66563055568271,Kepler-83,,4648,
Kepler-519 b,24.3078946,19.95463611125946,41.38463888883591,Kepler-519,0.89,5260,234
Kepler-192 d,6.47027579,19.19452777756585,45.59288888931275,Kepler-192,0,5479,0
Kepler-167 b,4.393147,19.51056111123827,38.34538888931274,Kepler-167,0.77,4890,330
Kepler-772 b,12.99207337,19.4282388888465,38.21658333354527,Kepler-772,0.98,5714,689
Kepler-295 d,33.884054,19.02306111123827,45.36778055561913,Kepler-295,,5603,
Kepler-337 b,3.292781,19.33736944437027,47.16396111064487,Kepler-337,,5684,
HD 177830 b,410.1,19.08911111089918,25.92078611108992,HD 177830,1.17,4752,59.0319
Kepler-516 b,24.85462415,19.70725277794732,38.73572222232819,Kepler-516,1.62,7099,777
Kepler-1562 b,64.2737752,19.63038055525886,46.74361111111111,Kepler-1562,1.02,5760,1315
Kepler-226 d,8.109044,19.49173888895247,47.88098888927036,Kepler-226,,5571,
HD 38283 b,363.2,5.617147222227521,-73.69908333354526,HD 38283,1.085,5998,38.3142
Kepler-386 b,12.31043,19.32393055544959,48.69385000016954,Kepler-386,,5178,
Kepler-922 b,0.93846683,18.98209722201029,49.53319444444444,Kepler-922,0.95,5671,558
HD 217786 b,1319,23.05229444450802,-0.4292111110687256,HD 217786,1.02,5966,54.8546
Kepler-363 c,7.542427,18.87946944448683,41.30538888878292,Kepler-363,,5593,
Kepler-687 b,20.50586978,19.28769722223282,39.15327777783076,Kepler-687,0.77,4841,628
Kepler-1457 b,51.1110243,18.91803888890479,42.02724999957614,Kepler-1457,1.01,5866,728
Kepler-567 b,16.54297375,19.84484166675144,48.30230555560853,Kepler-567,0.84,5148,568
Kepler-1453 b,47.1611696,19.07503611087799,47.94761111153496,Kepler-1453,0.97,5665,1284
Kepler-24 d,4.244384,19.36088055504693,38.34375,Kepler-24,,5897,
HD 32518 b,157.54,5.160172221925523,69.6395555554496,HD 32518,1.13,4580,120.627
Kepler-980 b,11.55102504,19.64086666689979,45.06016666624281,Kepler-980,1.05,5935,804
Kepler-472 b,4.17625551,19.76828611108992,39.24977777798971,Kepler-472,0.85,4996,302
Kepler-402 c,6.124821,19.22468055566152,43.35461111121707,Kepler-402,,6090,
Kepler-435 b,8.6001536,19.48582194434272,43.19722222222222,Kepler-435,1.538,6090,2070
WASP-18 b,0.9414529,1.623613888952467,-45.67793055534363,WASP-18,1.22,6400,99.4036
CoRoT-6 b,8.886593,18.73816833337148,6.663194444444445,CoRoT-6,1.05,6090,
Kepler-127 c,29.393195,19.01266944461399,46.02796111106873,Kepler-127,,6106,
Kepler-839 b,37.8144514,19.40497777779897,45.24258333312141,Kepler-839,1.22,6058,833
Kepler-203 c,5.370647,19.80600000010596,41.38803055551317,Kepler-203,,5821,
Kepler-1234 b,11.94014029,19.16813611110052,51.37586111068725,Kepler-1234,0.8,4967,866
Kepler-1127 b,5.12330347,19.54782499949138,42.72069444444445,Kepler-1127,0.97,5664,996
Kepler-732 c,0.89304124,18.91546944406297,45.95877777788375,Kepler-732,0.49,3631,150
HD 73267 b,1260,8.604958333439297,-34.46027777777778,HD 73267,0.89,5317,54.2005
HD 147513 b,528.40002,16.40034444444709,-39.19298888842265,HD 147513,1.072,5929.74,12.7779
Kepler-1528 b,1.79111021,19.16019722196791,46.5739722220103,Kepler-1528,1.03,5857,916
Kepler-893 b,6.33855761,18.99753611140781,43.91299999978807,Kepler-893,1,5820,1216
Kepler-1387 b,2.27952666,19.49602777798971,43.20944444444445,Kepler-1387,0.82,5046,491
Kepler-1062 b,9.30412078,18.92662777794732,41.22161111089918,Kepler-1062,0.75,4597,388
HD 72659 b,3658,8.567572222219573,-1.567977777719498,HD 72659,1.068,5919.51,49.8256
BD +14 4559 b,268.94,21.22662499957614,14.68938333352407,BD +14 4559,0.86,4814,48.3559
HD 1605 b,577.9,0.342072221967909,30.9746638891432,HD 1605,1.31,4757,84.6
Kepler-79 b,13.485,20.03447611106767,44.38150000042386,Kepler-79,1.1,6187,
Kepler-202 b,4.069427,18.86488888846504,41.32201111104754,Kepler-202,,4668,
Kepler-709 b,16.08524954,19.47368055555555,42.3803055551317,Kepler-709,0.8,5071,668
HD 197037 b,1035.7,20.6591694439782,42.24908888922798,HD 197037,1.11,6150,32.3311
HD 70642 b,2068,8.357858333587647,-39.70595833354526,HD 70642,1.002,5705.54,28.0662
KELT-2 A b,4.1137912,6.177591667175293,30.95714722209506,KELT-2 A,1.308,6151,128.5
Kepler-10 b,0.837495,19.04529527770148,50.24130555576748,Kepler-10,0.895,5627,173
Kepler-208 e,16.259458,19.59268055597941,42.52796944406298,Kepler-208,,6092,
Kepler-1365 b,7.69993485,19.47998055564032,42.04608333375719,Kepler-1365,1,5770,541
Kepler-270 c,25.262887,18.81333888901604,44.42230000019073,Kepler-270,,6067,
Kepler-966 b,99.747622,19.81803888890478,50.12180555555555,Kepler-966,1.02,5840,773
Kepler-1010 b,34.2685705,19.27950833320618,44.14933333290948,Kepler-1010,0.86,5253,610
Kepler-811 b,23.58447697,19.02828611161974,47.83461111108462,Kepler-811,1.01,5747,847
Kepler-225 c,18.794234,19.47960000038147,47.45708888901605,Kepler-225,,3682,
Kepler-1305 b,13.5630972,19.82263055536482,46.34724999957615,Kepler-1305,0.97,5701,1343
Kepler-150 d,12.56093,19.21561111132304,40.52089999993642,Kepler-150,,5560,
Kepler-1322 b,0.96286738,19.54696944448683,45.43538888891538,Kepler-1322,0.9,5488,1217
Kepler-405 b,10.613839,19.42729999966092,38.34001944435968,Kepler-405,,5818,
