ra,dec,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,astrometric_sigma5d_max,astrometric_excess_noise,visibility_periods_used,astrometric_matched_observations,astrometric_n_good_obs_al,astrometric_sigma5d_max,bp_rp,g_rp,source_id,original_ext_source_id,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,tmass_oid,designation,ra,dec,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,j_date,source_id,original_ext_source_id,sdssdr9_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,sdssdr9_oid,obj_id,ra,dec,mjd,r_mag,r_mag_error,i_mag,i_mag_error,z_mag,z_mag_error,objc_type,source_id,original_ext_source_id,allwise_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,allwise_oid,designation,ra,dec,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,cc_flags,w1mjd_mean,w2mjd_mean,w3mjd_mean,tmass_key
4.773017845704506,-9.96615046811158,2428162410789155328,49.51233235341512,0.05634298888756179,-36.59271623367868,0.12591495476959955,-301.43466171433914,0.061760449138193854,9.312404,0.075272776,0.0,9,18,151,0.075272776,1.6999321,0.8667393,2428162410789155328,00190556-0957530,260371624,1,0,1,260371624,00190556-0957530,4.773205,-9.964745,7.376,0.02,6.71,0.031,6.549,0.021,2451102.6693,2428162410789155328,1237652900750164010,19704619,1,0,1,19704619,1237652900750164010,4.773163339413486,-9.964924576168498,51813.0,14.621932,0.035710044,8.807723,8.5367115E-5,8.778123,1.7758517E-4,6,2428162410789155328,J001905.53-095756.6,325393431,1,0,1,325393431,J001905.53-095756.6,4.7730775,-9.9657475,6.435,0.086,6.38,0.025,6.427,0.016,0000,55368.80056037,55368.80056037,55368.80056037,
358.91368374965566,-6.1442304204721765,2442996678074668288,56.14379957679612,0.09643119661421803,-479.0793969218001,0.1582112457978417,-379.00495715051,0.0914101272683567,10.136815,0.08575453,0.24620065608116687,11,47,401,0.08575453,2.3408737,1.075881,2442996678074668288,23553981-0608327,273313188,1,0,1,273313188,23553981-0608327,358.915888,-6.14244,7.6,0.018,6.964,0.044,6.715,0.024,2451105.613,2442996678074668288,1237679321771868187,33385916,1,0,1,33385916,1237679321771868187,358.9145100319874,-6.1435565769463745,54830.0,10.562578,1.6393275E-4,9.473857,1.3022158E-4,9.919137,3.0025624E-4,6,2442996678074668288,J235539.44-060837.2,348300131,1,0,1,348300131,J235539.44-060837.2,358.9143581,-6.1436937,6.584,0.072,6.477,0.021,6.437,0.016,0000,55365.17500039,55365.17500039,55365.17500039,
208.89743543026722,-7.388416748463156,3619515385839767936,48.33248692337993,0.04770074832311318,254.7179547057077,0.09087849480994978,-104.90703280282887,0.08282530051674648,11.501105,0.05998859,0.09856028894827353,10,16,138,0.05998859,2.4869404,1.1313133,3619515385839767936,13553511-0723165,269155359,1,0,1,269155359,13553511-0723165,208.896313,-7.387927,8.813,0.035,8.233,0.024,7.947,0.027,2451238.8033,3619515385839767936,1237671956986331181,28128402,1,0,1,28128402,1237671956986331181,208.89676711620496,-7.388198873460414,53880.0,11.999598,2.9483958E-4,10.786444,1.8830497E-4,10.474678,3.9400553E-4,3,3619515385839767936,J135535.29-072317.7,340840312,1,0,1,340840312,J135535.29-072317.7,208.8970803,-7.3882776,7.814,0.026,7.713,0.021,7.631,0.018,0000,55317.7182622,55413.25598315,55317.7182622,
108.52771098582814,-15.068789422778895,3032105353154128256,35.453120681964364,0.04362382394474894,-126.79141630423763,0.06434895694238703,150.41801782472606,0.06082986038789574,12.616914,0.04135837,0.0,13,25,216,0.04135837,2.5792007,1.1603689,3032105353154128256,07140680-1504102,242197740,1,0,1,242197740,07140680-1504102,108.528347,-15.069516,9.915,0.028,9.277,0.024,9.03,0.024,2450904.5409,3032105353154128256,1237676583198262217,8785564,1,0,1,8785564,1237676583198262217,108.52794937824763,-15.069151132101995,54453.0,13.155559,7.375905E-4,16.085588,0.031433087,11.242968,5.9610145E-4,6,3032105353154128256,J071406.69-150408.4,294698716,1,0,1,294698716,J071406.69-150408.4,108.5279052,-15.0690002,8.866,0.023,8.72,0.02,8.585,0.024,0h00,55389.35833473,55389.35833473,55293.5968734,1218564439
345.44311406117885,-6.239988823838429,2634902826245745664,44.55074121016705,0.06866535806442005,177.9284318957007,0.09586557669566609,-80.18466208764303,0.09657598440688739,12.21109,0.063181356,0.10093509129981393,10,14,121,0.063181356,2.5752726,1.1591215,2634902826245745664,23014614-0614225,272990531,1,0,1,272990531,23014614-0614225,345.442258,-6.23959,9.486,0.021,8.901,0.021,8.648,0.021,2451096.5402,2634902826245745664,1237680264530821146,32966243,1,0,1,32966243,1237680264530821146,345.44284277668976,-6.239867812975504,55120.0,12.748316,4.2955374E-4,12.550228,4.811012E-4,10.888497,4.5296858E-4,6,2634902826245745664,J230146.28-061423.5,347726582,1,0,1,347726582,J230146.28-061423.5,345.4428411,-6.2398877,8.484,0.024,8.318,0.02,8.202,0.032,0000,55487.01673047,55531.46609557,55353.66863519,103057188
25.938329255906396,-6.044617019509852,2479453696216295296,46.8487574984925,0.07021915637123345,52.25897701994214,0.1335810942498301,-27.06848586215561,0.11305557772738985,11.668446,0.077068366,0.185543700439701,10,16,135,0.077068366,2.7644262,1.1983833,2479453696216295296,01434512-0602400,273638551,1,0,1,273638551,01434512-0602400,25.938026,-6.044471,8.77,0.023,8.174,0.034,7.912,0.018,2451116.642,2479453696216295296,1237679440421191765,33820115,1,0,1,33820115,1237679440421191765,25.938203519917167,-6.044576531486933,54847.0,12.345637,3.4809258E-4,10.952564,2.1090858E-4,10.61583,3.9774444E-4,3,2479453696216295296,J014345.17-060240.5,348891630,1,0,1,348891630,J014345.17-060240.5,25.9382492,-6.0445974,7.748,0.026,7.589,0.02,7.481,0.017,0000,55348.04505779,55425.39689177,55348.04505779,107735571
25.99461429456347,-6.913537958121055,2467242352575094784,66.22396519243934,0.0695426131523543,65.91951837621431,0.11943645197303938,47.984020937379675,0.09391654363696136,11.456539,0.06801693,0.2072338769485163,10,21,179,0.06801693,2.511918,1.1326046,2467242352575094784,01435863-0654497,270740596,1,0,1,270740596,01435863-0654497,25.994298,-6.913807,8.781,0.027,8.223,0.047,7.966,0.029,2451116.6426,2467242352575094784,1237679439347449881,30029869,1,0,1,30029869,1237679439347449881,25.99443390566914,-6.913684658451879,54847.0,11.9498415,2.924794E-4,10.751643,1.8329911E-4,10.296114,3.6026095E-4,3,2467242352575094784,J014358.67-065449.0,343684492,1,0,1,343684492,J014358.67-065449.0,25.9944916,-6.9136269,7.779,0.027,7.636,0.02,7.551,0.018,0000,55325.8544048,55417.6469942,55333.38068189,107736905
165.69048434679303,-16.406444499029252,3562427951852172288,37.71770842940717,0.09040318489021473,-221.07827035345073,0.2189305156566657,-58.99886060127822,0.13846762487205974,15.071506,0.21144228,0.5158059412702345,9,15,129,0.21144228,3.5431852,1.3763809,3562427951852172288,11024596-1624222,237188077,1,0,1,237188077,11024596-1624222,165.691517,-16.406193,11.559,0.024,10.993,0.022,10.644,0.023,2451236.6848,3562427951852172288,1237671142546276556,6893230,1,0,1,6893230,1237671142546276556,165.69108024125921,-16.406287835370765,53742.0,16.276825,0.014735183,14.308373,0.011630895,13.2494545,0.016719617,6,3562427951852172288,J110245.79-162422.8,286654870,1,0,1,286654870,J110245.79-162422.8,165.6907942,-16.4063571,10.426,0.023,10.233,0.021,10.024,0.062,0000,55450.95468337,55450.95468337,55356.28873412,289264170
191.00097927462855,-11.175766423697572,3530383784971799680,70.48318681074068,0.08457522800038511,-479.4024759804449,0.16004419180264645,-152.90809324164044,0.09389186178332908,12.649874,0.092841715,0.22132171603629766,13,40,338,0.092841715,3.0845013,1.2827997,3530383784971799680,12440075-1110302,256170811,1,0,1,256170811,12440075-1110302,191.00315,-11.175062,9.516,0.023,8.969,0.022,8.674,0.023,2451225.7577,3530383784971799680,1237671266028683294,16551308,1,0,1,16551308,1237671266028683294,191.0022564881605,-11.175378617961506,53766.0,13.531547,0.024429956,11.91668,3.1162475E-4,11.182695,5.4974086E-4,6,3530383784971799680,J124400.39-111031.9,318139671,1,0,1,318139671,J124400.39-111031.9,191.0016478,-11.1755422,8.466,0.023,8.27,0.02,8.117,0.021,0000,55388.30826744,55411.97485556,55317.9934845,
329.30359327905484,-9.058007033895343,2618333804489940992,51.269227002530556,0.14864675378328285,177.6231114417797,0.14120608614742103,-126.51886522832532,0.13755595813923926,13.393693,0.19789766,0.3387625508850484,6,9,79,0.19789766,3.2318554,1.327425,2618333804489940992,21571265-0903267,263494334,1,0,1,263494334,21571265-0903267,329.302712,-9.057427,10.142,0.022,9.509,0.024,9.239,0.025,2451091.651,2618333804489940992,1237652598494986292,22444563,2,0,1,22444563,1237652598494986292,329.30284769852597,-9.05749812352956,51790.0,14.44786,0.01195975,12.7023,0.0011120451,11.72351,0.015213239,6,2618333804489940992,J215712.79-090328.1,330846997,1,0,1,330846997,J215712.79-090328.1,329.3033242,-9.0578187,9.011,0.022,8.847,0.02,8.681,0.026,0000,55426.32932265,55426.32932265,55335.64208312,100302307
